fold,epoch,model,loss,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,learning_rate
2,1,SwinTransformer_Fold2,0.13939175656001232,96.89271943751417,0.9615899955337204,0.9768602540834845,0.9691649786180508,2153,86,2119,51,0.0001
2,2,SwinTransformer_Fold2,0.09851444267701152,97.34633703787708,0.9846725499303298,0.9618874773139746,0.9731466605462474,2120,33,2172,84,0.0001
2,3,SwinTransformer_Fold2,0.08166877544768479,97.59582671807667,0.984302862419206,0.9673321234119783,0.9757437070938215,2132,34,2171,72,0.0001
2,4,SwinTransformer_Fold2,0.06885733827463507,96.82467679745974,0.955026455026455,0.9827586206896551,0.9686940966010733,2166,102,2103,38,0.0001
2,5,SwinTransformer_Fold2,0.05833521309255772,97.75459287820367,0.9747406405051872,0.9804900181488203,0.9776068762723366,2161,56,2149,43,0.0001
2,6,SwinTransformer_Fold2,0.05415510785146119,97.02880471762305,0.9713506139154161,0.969147005444646,0.9702475584828526,2136,63,2142,68,0.0001
2,7,SwinTransformer_Fold2,0.044526795060833596,97.23293263778635,0.9814986123959297,0.9627949183303085,0.9720568025652772,2122,40,2165,82,0.0001
2,8,SwinTransformer_Fold2,0.041961814460671085,97.39169879791336,0.9758542141230069,0.9718693284936479,0.9738576949306661,2142,53,2152,62,0.0001
2,9,SwinTransformer_Fold2,0.030776979819653418,96.98344295758675,0.962070504239179,0.9782214156079855,0.9700787401574803,2156,85,2120,48,0.0001
2,10,SwinTransformer_Fold2,0.02717689846068701,97.1648899977319,0.9634418189924209,0.9804900181488203,0.9718911625815156,2161,82,2123,43,0.0001
2,11,SwinTransformer_Fold2,0.011859554561812294,97.68655023814924,0.978161965423112,0.9754990925589837,0.9768287142208087,2150,48,2157,54,1e-05
2,12,SwinTransformer_Fold2,0.007486223790178686,97.59582671807667,0.9829650092081031,0.9686932849364791,0.9757769652650823,2135,37,2168,69,1e-05
2,13,SwinTransformer_Fold2,0.004814926782066085,97.50510319800408,0.9780821917808219,0.9718693284936479,0.9749658625398271,2142,48,2157,62,1e-05
2,14,SwinTransformer_Fold2,0.00484061208054181,97.55046495804038,0.9781021897810219,0.9727767695099818,0.9754322111010009,2144,48,2157,60,1e-05
2,15,SwinTransformer_Fold2,0.004116936520807795,97.50510319800408,0.9772105742935278,0.9727767695099818,0.9749886311959982,2144,50,2155,60,1e-05
2,16,SwinTransformer_Fold2,0.005587364793602345,97.55046495804038,0.9829493087557604,0.9677858439201452,0.9753086419753086,2133,37,2168,71,1e-05
2,17,SwinTransformer_Fold2,0.00274735202241823,97.45974143796779,0.9784995425434584,0.970508166969147,0.9744874715261959,2139,47,2158,65,1e-05
2,18,SwinTransformer_Fold2,0.0028470577035279903,97.43706055794965,0.9789280806229959,0.9696007259528131,0.9742420788693869,2137,46,2159,67,1e-05
2,19,SwinTransformer_Fold2,0.0028350953666928112,97.64118847811295,0.9759746146872167,0.9768602540834845,0.9764172335600907,2153,53,2152,51,1e-05
2,20,SwinTransformer_Fold2,0.0025060420019843255,97.50510319800408,0.9793956043956044,0.970508166969147,0.9749316317228806,2139,45,2160,65,1e-05
3,1,SwinTransformer_Fold3,0.1413536442231144,96.7566341574053,0.9781902552204176,0.956442831215971,0.9671943106217022,2108,47,2158,96,0.0001
