fold,epoch,model,loss,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,learning_rate
1,19,ResNet50_Fold1,7.821825146403826e-05,97.05215419501134,0.9726651480637813,0.9682539682539683,0.9704545454545455,2135,60,2145,70,1e-05
1,20,ResNet50_Fold1,0.0002997122408986306,96.98412698412699,0.9679313459801264,0.9718820861678005,0.9699026929169495,2143,71,2134,62,1e-05
2,1,ResNet50_Fold2,0.13490849594329146,96.71127239736902,0.9724644332262505,0.9614337568058077,0.9669176363221538,2119,60,2145,85,0.0001
2,2,ResNet50_Fold2,0.07362807806044736,96.7566341574053,0.966078697421981,0.969147005444646,0.9676104190260476,2136,75,2130,68,0.0001
2,3,ResNet50_Fold2,0.05328588741553097,96.71127239736902,0.967741935483871,0.9664246823956443,0.9670828603859251,2130,71,2134,74,0.0001
2,4,ResNet50_Fold2,0.03654668319206288,96.09888863687911,0.9652014652014652,0.956442831215971,0.9608021877848678,2108,76,2129,96,0.0001
2,5,ResNet50_Fold2,0.031178273821580293,96.62054887729644,0.9711141678129298,0.9609800362976406,0.9660205245153934,2118,63,2142,86,0.0001
2,6,ResNet50_Fold2,0.021930072958481185,96.48446359718757,0.9710344827586207,0.9582577132486388,0.9646037908198218,2112,63,2142,92,0.0001
2,7,ResNet50_Fold2,0.020418325235526856,96.25765479700613,0.9590274651058082,0.9664246823956443,0.9627118644067797,2130,91,2114,74,0.0001
2,8,ResNet50_Fold2,0.01363170827650812,96.68859151735087,0.9763888888888889,0.9568965517241379,0.9665444546287809,2109,51,2154,95,0.0001
2,9,ResNet50_Fold2,0.009084705656607473,96.43910183715128,0.9650159018627896,0.9637023593466425,0.9643586833144154,2124,77,2128,80,0.0001
2,10,ResNet50_Fold2,0.009938262428230028,95.82671807666138,0.9795821462488129,0.9360254083484574,0.9573085846867749,2063,43,2162,141,0.0001
2,11,ResNet50_Fold2,0.0051777388507155365,96.84735767747789,0.9674060660932549,0.9696007259528131,0.9685021527305687,2137,72,2133,67,1e-05
2,12,ResNet50_Fold2,0.0007316927466905801,96.87003855749603,0.9704007285974499,0.9668784029038112,0.9686363636363636,2131,65,2140,73,1e-05
2,13,ResNet50_Fold2,0.0005575825786065146,96.93808119755046,0.9712984054669704,0.9673321234119783,0.969311207092521,2132,63,2142,72,1e-05
2,14,ResNet50_Fold2,0.0002475008713432821,96.91540031753232,0.969147005444646,0.969147005444646,0.969147005444646,2136,68,2137,68,1e-05
2,15,ResNet50_Fold2,0.0003911427844472846,96.91540031753232,0.9682971014492754,0.97005444646098,0.9691749773345422,2138,70,2135,66,1e-05
2,16,ResNet50_Fold2,0.0001787851381360052,97.05148559764119,0.9748168498168498,0.9659709618874773,0.9703737465815861,2129,55,2150,75,1e-05
2,17,ResNet50_Fold2,8.801047468615661e-05,97.02880471762305,0.9739368998628258,0.9664246823956443,0.9701662491459804,2130,57,2148,74,1e-05
2,18,ResNet50_Fold2,0.00028897238407058217,96.7566341574053,0.9623149394347241,0.9732304900181489,0.967741935483871,2145,84,2121,59,1e-05
2,19,ResNet50_Fold2,0.00011357053888719497,97.07416647765933,0.9730962152302781,0.9682395644283122,0.9706618148737776,2134,59,2146,70,1e-05
2,20,ResNet50_Fold2,6.145911443432074e-05,97.05148559764119,0.9713636363636363,0.9696007259528131,0.9704813805631244,2137,63,2142,67,1e-05
3,1,ResNet50_Fold3,0.13085258568711308,96.41642095713314,0.973172987974098,0.9546279491833031,0.9638112688960147,2104,58,2147,100,0.0001
3,2,ResNet50_Fold3,0.07717094076898597,96.77931503742346,0.9738051470588235,0.9614337568058077,0.9675799086757991,2119,57,2148,85,0.0001
