image,transform,align_score,mode,status
2022_03_21_11_03_12_02,id,2866,cellwise,ok
2022_03_21_11_03_12_11,id,0,cellwise,empty
2022_03_21_11_03_12_19,id,2040,cellwise,ok
2022_03_21_11_03_12_27,id,2487,cellwise,ok
2022_03_21_11_03_12_36,id,0,cellwise,empty
2022_03_21_11_03_12_44,id,0,cellwise,empty
2022_03_21_11_03_12_52,id,1974,cellwise,ok
2022_03_21_11_03_12_74,id,2498,cellwise,ok
2022_03_21_11_03_12_80,id,0,cellwise,empty
2022_03_21_11_03_12_88,id,0,cellwise,empty
2022_03_21_11_03_12_97,id,2991,cellwise,ok
2022_03_21_11_03_13_05,id,0,cellwise,empty
2022_03_21_11_03_13_13,id,0,cellwise,empty
2022_03_21_11_03_13_22,id,0,cellwise,empty
2022_03_21_11_03_13_30,id,0,cellwise,empty
2022_03_21_11_03_13_47,id,0,cellwise,empty
2022_03_21_11_03_13_55,id,7452,cellwise,ok
2022_03_21_11_03_13_63,id,0,cellwise,empty
2022_03_21_11_03_13_70,id,0,cellwise,empty
2022_03_21_11_03_13_79,id,0,cellwise,empty
2022_03_21_11_03_15_30,id,3370,cellwise,ok
2022_03_21_11_03_21_99,id,0,cellwise,empty
2022_03_21_11_03_23_67,rot90,1608,cellwise,ok
2022_03_21_11_03_25_34,id,0,cellwise,empty
2022_03_21_11_03_27_01,id,5299,cellwise,ok
2022_03_21_11_03_28_69,id,3830,cellwise,ok
2022_03_21_11_03_30_36,id,0,cellwise,empty
2022_03_21_11_03_32_03,id,0,cellwise,empty
2022_03_21_11_03_33_71,flipud,4111,cellwise,ok
2022_03_21_11_03_35_38,id,0,cellwise,empty
2022_03_21_11_03_37_06,id,0,cellwise,empty
2022_03_21_11_03_38_73,id,0,cellwise,empty
2022_03_21_11_03_40_40,id,0,cellwise,empty
2022_03_21_11_03_42_08,id,4895,cellwise,ok
2022_03_21_11_03_43_75,id,3442,cellwise,ok
2022_03_21_11_03_45_42,id,1785,cellwise,ok
2022_03_21_11_03_48_77,id,2502,cellwise,ok
2022_03_21_11_03_50_44,id,0,cellwise,empty
2022_03_21_11_03_52_12,id,0,cellwise,empty
2022_03_21_11_03_53_80,id,0,cellwise,empty
2022_03_21_11_03_57_14,id,0,cellwise,empty
